time,precip
2003-03-01,265.4892
2003-04-01,156.77919
2003-05-01,52.5355
2003-06-01,13.424068
2003-07-01,9.125716
2003-08-01,21.331642
2003-09-01,55.5322
2003-10-01,149.41425
2003-11-01,152.66714
2003-12-01,266.00037
2004-01-01,293.75482
2004-02-01,248.88
2004-03-01,170.19888
2004-04-01,123.687
2004-05-01,58.702454
2004-06-01,14.30765
2004-07-01,28.034813
2004-08-01,16.201262
2004-09-01,46.45993
2004-10-01,153.10995
2004-11-01,211.59491
2004-12-01,288.5556
2005-01-01,343.4257
2005-02-01,223.72942
2005-03-01,227.7568
2005-04-01,102.00195
2005-05-01,58.95961
2005-06-01,16.41001
2005-07-01,8.040117
2005-08-01,12.936106
2005-09-01,64.89073
2005-10-01,143.80095
2005-11-01,128.19751
2005-12-01,311.50394
2006-01-01,285.75815
2006-02-01,314.12982
2006-03-01,228.6366
2006-04-01,155.38063
2006-05-01,64.01333
2006-06-01,10.796869
2006-07-01,12.353391
2006-08-01,9.650763
2006-09-01,66.66783
2006-10-01,180.50198
2006-11-01,139.2024
2006-12-01,294.33685
2007-01-01,281.1188
2007-02-01,267.34225
2007-03-01,278.72388
2007-04-01,134.17107
2007-05-01,34.77688
2007-06-01,11.622961
2007-07-01,18.499321
2007-08-01,7.8701797
2007-09-01,44.542732
2007-10-01,271.15112
2007-11-01,235.99132
2007-12-01,283.4205
2008-01-01,332.08466
2008-02-01,238.21135
2008-03-01,335.73483
2008-04-01,130.07597
2008-05-01,41.952614
2008-06-01,10.982313
2008-07-01,9.356691
2008-08-01,24.981163
2008-09-01,42.07634
2008-10-01,139.51085
2008-11-01,143.40501
2008-12-01,292.18527
2009-01-01,290.3534
2009-02-01,252.16379
2009-03-01,302.26953
2009-04-01,174.35025
2009-05-01,84.072044
2009-06-01,18.910437
2009-07-01,37.06913
2009-08-01,38.068268
2009-09-01,78.13574
2009-10-01,119.8784
2009-11-01,169.46417
2009-12-01,284.89087
2010-01-01,287.9717
2010-02-01,351.0647
2010-03-01,201.6519
2010-04-01,62.46758
2010-05-01,36.27241
2010-06-01,8.669176
2010-07-01,9.663349
2010-08-01,9.102321
2010-09-01,29.173275
2010-10-01,145.9288
2010-11-01,191.9477
2010-12-01,195.26395
2011-01-01,341.6143
2011-02-01,275.0439
2011-03-01,350.57712
2011-04-01,124.959114
2011-05-01,21.336319
2011-06-01,12.554577
2011-07-01,9.546145
2011-08-01,12.936578
2011-09-01,33.637955
2011-10-01,110.47895
2011-11-01,183.44612
2011-12-01,253.70415
2012-01-01,325.48547
2012-02-01,298.46533
2012-03-01,292.4522
2012-04-01,157.94385
2012-05-01,104.55629
2012-06-01,29.976833
2012-07-01,10.660663
2012-08-01,7.209151
2012-09-01,52.170647
2012-10-01,114.90153
2012-11-01,192.09561
2012-12-01,218.18239
2013-01-01,234.91617
2013-02-01,264.54544
2013-03-01,178.8191
2013-04-01,112.3291
2013-05-01,63.603424
2013-06-01,58.98827
2013-07-01,13.951826
2013-08-01,7.295822
2013-09-01,29.196962
2013-10-01,217.59007
2013-11-01,152.42007
2013-12-01,246.89314
2014-01-01,169.06836
2014-02-01,230.39438
